tournament,match_id,team,player,minute,period,shot_type,shot_outcome,shot_statsbomb_xg,shot_key_pass_id,x,y
World Cup 2019,69301,Sweden Women's,Kosovare Asllani,10,1,Open Play,Goal,0.1051876,,104.7,45.5
World Cup 2019,69301,Sweden Women's,Eva Sofia Jakobsson,15,1,Open Play,Saved to Post,0.039003637,ab485447-f5f4-4b3d-ade6-e3c62741fbbc,110.9,53.1
World Cup 2019,69301,Sweden Women's,Eva Sofia Jakobsson,21,1,Open Play,Goal,0.035328,5506b1d4-fe6c-460d-acdc-104cd85884ba,107.8,26.1
World Cup 2019,69301,England Women's,Lucy Bronze,22,1,Open Play,Saved,0.018010672,,93.7,51.1
World Cup 2019,69301,England Women's,Francesca Kirby,30,1,Open Play,Goal,0.1007295,6c67714a-6078-4494-8621-81133201ca20,108.0,52.7
World Cup 2019,69301,Sweden Women's,Hanna Erica Maria Glas,43,1,Open Play,Saved,0.0069027855,,83.6,47.1
World Cup 2019,69301,Sweden Women's,Emma Stina Blackstenius,48,1,Open Play,Off T,0.124659725,,105.4,25.5
World Cup 2019,69301,England Women's,Ellen White,50,1,Open Play,Saved,0.13908964,3135fc04-58d9-4af1-b988-3f91aae3b077,108.4,53.3
World Cup 2019,69301,England Women's,Alex Greenwood,49,2,Open Play,Blocked,0.0068381405,ed0caa5a-357b-40a8-91c4-0f11996105b3,84.3,31.3
World Cup 2019,69301,England Women's,Jade Moore,49,2,Open Play,Off T,0.0066160476,41712793-25b9-4051-85b8-94921b7be61f,81.9,35.2
World Cup 2019,69301,England Women's,Jill Scott,56,2,Open Play,Blocked,0.020786265,ba0e9c8e-5e2b-407a-9bd5-f2dd03d3648c,88.6,39.9
World Cup 2019,69301,England Women's,Stephanie Houghton,61,2,Open Play,Off T,0.057167698,90d6e184-8eeb-4290-acd5-0ab20017ec6c,117.5,48.2
World Cup 2019,69301,England Women's,Lucy Bronze,63,2,Open Play,Wayward,0.0044258432,,63.1,79.4
World Cup 2019,69301,Sweden Women's,Julia Zigiotti-Olme,65,2,Open Play,Saved,0.04116787,3e586e16-02db-4a26-b0d3-15e7a9ce6ed2,95.7,39.3
World Cup 2019,69301,England Women's,Jade Moore,82,2,Open Play,Off T,0.0064325384,,82.9,38.3
World Cup 2019,69301,Sweden Women's,Eva Sofia Jakobsson,87,2,Open Play,Saved,0.070376985,26d9f32e-b7df-4828-b356-8ce05394a17a,102.9,51.5
World Cup 2019,69301,England Women's,Lucy Bronze,89,2,Open Play,Blocked,0.094765656,,107.0,37.7
World Cup 2019,69301,England Women's,Karen Julia Carney,90,2,Open Play,Saved,0.018981313,,89.3,33.5
World Cup 2019,69301,Sweden Women's,Julia Zigiotti-Olme,90,2,Open Play,Saved,0.12665191,,109.0,33.4
World Cup 2019,68355,Nigeria Women's,Francisca Ordega,1,1,Open Play,Saved,0.057198483,3f6cf8ec-5481-45f8-941a-6991e8070237,114.0,47.9
World Cup 2019,68355,Germany Women's,Lina Magull,5,1,Open Play,Blocked,0.14670533,59b9d232-cf10-499f-83ef-cf29d3beaae6,111.2,38.8
World Cup 2019,68355,Germany Women's,Alexandra Popp,16,1,Open Play,Blocked,0.04000731,,100.5,30.0
World Cup 2019,68355,Germany Women's,Alexandra Popp,19,1,Open Play,Goal,0.13878757,fa990e1e-7db8-4869-9f43-0032e8eea708,115.3,40.1
World Cup 2019,68355,Germany Women's,Sara Däbritz,26,1,Penalty,Goal,0.7835,,108.0,40.0
World Cup 2019,68355,Germany Women's,Svenja Huth,41,1,Open Play,Off T,0.070565134,a22adea9-c92b-4b77-9446-99fa384539d9,110.7,50.9
World Cup 2019,68355,Nigeria Women's,Uchenna Kanu,48,1,Open Play,Blocked,0.07187568,33df2477-30ce-4ae6-9eb4-d379dc10d5ad,109.3,44.6
World Cup 2019,68355,Nigeria Women's,Chinwendu Ihezuo,51,2,Open Play,Off T,0.029893473,5d181a47-afcd-4435-b9bf-57df00219b34,112.9,26.0
